name for phylo;FAMILY;Genus;Epitet;To_Use;Genus Use;Familiy Use;Translation
Acacia_farnesiana;Fabaceae;Acacia;farnesiana;1;0;1;Fabaceae.undiff
Acer_glabrum;Sapindaceae;Acer;glabrum;1;1;0;Acer
Acer_macrophyllum;Sapindaceae;Acer;macrophyllum;1;1;0;Acer
Acer_negundo;Sapindaceae;Acer;negundo;1;1;0;Acer
Acer_pensylvanicum;Sapindaceae;Acer;pensylvanicum;1;1;0;Acer
Acer_rubrum;Sapindaceae;Acer;rubrum;1;1;0;Acer
Acer_saccharinum;Sapindaceae;Acer;saccharinum;1;1;0;Acer
Acer_saccharum;Sapindaceae;Acer;saccharum;1;1;0;Acer
Acer_spicatum;Sapindaceae;Acer;spicatum;1;1;0;Acer
Alnus_oblongifolia;Betulaceae;Alnus;oblongifolia;1;1;0;Alnus
Alnus_rhombifolia;Betulaceae;Alnus;rhombifolia;1;1;0;Alnus
Alnus_rubra;Betulaceae;Alnus;rubra;1;1;0;Alnus
Amelanchier_arborea;Rosaceae;Amelanchier;arborea;0;0;0;Rosaceae.undiff
Amelanchier_sanguinea;Rosaceae;Amelanchier;sanguinea;0;0;0;Rosaceae.undiff
Arbutus_arizonica;Ericaceae;Arbutus;arizonica;1;0;1;Ericaceae.undiff
Arbutus_menziesii;Ericaceae;Arbutus;menziesii;1;0;1;Ericaceae.undiff
Arbutus_texana;Ericaceae;Arbutus;texana;1;0;1;Ericaceae.undiff
Armeniaca_dasycarpa;Rosaceae;Armeniaca;dasycarpa;0;0;0;Rosaceae.undiff
Aucuparia_americana;Rosaceae;Aucuparia;americana;0;0;0;Rosaceae.undiff
Betula_alleghaniensis;Betulaceae;Betula;alleghaniensis;1;1;0;Betula
Betula_lenta;Betulaceae;Betula;lenta;1;1;0;Betula
Betula_nigra;Betulaceae;Betula;nigra;1;1;0;Betula
Betula_occidentalis;Betulaceae;Betula;occidentalis;1;1;0;Betula
Betula_papyrifera;Betulaceae;Betula;papyrifera;1;1;0;Betula
Betula_populifolia;Betulaceae;Betula;populifolia;1;1;0;Betula
Carpinus_caroliniana;Betulaceae;Carpinus;caroliniana;1;1;1;Ostrya.Carpinus
Carya_alba;Juglandaceae;Carya;alba;1;1;0;Carya
Carya_aquatica;Juglandaceae;Carya;aquatica;1;1;0;Carya
Carya_cordiformis;Juglandaceae;Carya;cordiformis;1;1;0;Carya
Carya_glabra;Juglandaceae;Carya;glabra;1;1;0;Carya
Carya_illinoinensis;Juglandaceae;Carya;illinoinensis;1;1;0;Carya
Carya_laciniosa;Juglandaceae;Carya;laciniosa;1;1;0;Carya
Carya_myristiciformis;Juglandaceae;Carya;myristiciformis;1;1;0;Carya
Carya_ovata;Juglandaceae;Carya;ovata;1;1;0;Carya
Carya_pallida;Juglandaceae;Carya;pallida;1;1;0;Carya
Carya_texana;Juglandaceae;Carya;texana;1;1;0;Carya
Castanea_dentata;Fagaceae;Castanea;dentata;1;1;0;Castanea
Castanea_ozarkensis;Fagaceae;Castanea;ozarkensis;1;1;0;Castanea
Castanea_pumila;Fagaceae;Castanea;pumila;1;1;0;Castanea
Celtis_laevigata;Cannabaceae;Celtis;laevigata;1;1;0;Celtis
Celtis_occidentalis;Cannabaceae;Celtis;occidentalis;1;1;0;Celtis
Cercis_canadensis;Fabaceae;Cercis;canadensis;1;0;1;Fabaceae.undiff
Cercocarpus_ledifolius;Rosaceae;Cercocarpus;ledifolius;0;0;0;Rosaceae.undiff
Cladrastis_kentukea;Fabaceae;Cladrastis;kentukea;1;0;1;Fabaceae.undiff
Coccoloba_diversifolia;Polygonaceae;Coccoloba;diversifolia;0;0;0;Polygonaceae.undiff
Coccothrinax_argentata;Arecaceae;Coccothrinax;argentata;1;0;1;Arecaceae
Colubrina_elliptica;Rhamnaceae;Colubrina;elliptica;1;0;1;Rhamnaceae
Condalia_hookeri;Rhamnaceae;Condalia;hookeri;1;0;1;Rhamnaceae
Cordia_sebestena;Boraginaceae;Cordia;sebestena;1;0;1;Boraginaceae
Cornus_florida;Cornaceae;Cornus;florida;1;1;0;Cornus
Cornus_nuttallii;Cornaceae;Cornus;nuttallii;1;1;0;Cornus
Cotinus_obovatus;Anacardiaceae;Cotinus;obovatus;1;0;1;Anacardiaceae
