X;name.for.phylo;Family;Genus;Translation;Symbol
1;Abutilon_abutiloides;Malvaceae;Abutilon;Malvaceae.undiff;ABAB
2;Abies_alba;Pinaceae;Abies;Abies;ABAL3
3;Abies_amabilis;Pinaceae;Abies;Abies;ABAM
4;Abutilon_auritum;Malvaceae;Abutilon;Malvaceae.undiff;ABAU
5;Abies_balsamea;Pinaceae;Abies;Abies;ABBA
6;Abies_balsamea;Pinaceae;Abies;Abies;ABBAB
7;Abies_balsamea;Pinaceae;Abies;Abies;ABBAP
8;Abutilon_berlandieri;Malvaceae;Abutilon;Malvaceae.undiff;ABBE
9;Abies_bracteata;Pinaceae;Abies;Abies;ABBR
10;Abies_concolor;Pinaceae;Abies;Abies;ABCO
11;Abutilon_eremitopetalum;Malvaceae;Abutilon;Malvaceae.undiff;ABER
12;Abelmoschus_esculentus;Malvaceae;Abelmoschus;Malvaceae.undiff;ABES
13;Abies_firma;Pinaceae;Abies;Abies;ABFI
14;Abies_fraseri;Pinaceae;Abies;Abies;ABFR
15;Abutilon_fruticosum;Malvaceae;Abutilon;Malvaceae.undiff;ABFR3
16;Abutilon_glabriflorum;Malvaceae;Abutilon;Malvaceae.undiff;ABGL
17;Abies_grandis;Pinaceae;Abies;Abies;ABGR
18;Abutilon_grandifolium;Malvaceae;Abutilon;Malvaceae.undiff;ABGR3
19;Abies_guatemalensis;Pinaceae;Abies;Abies;ABGU
20;Abutilon_hirtum;Malvaceae;Abutilon;Malvaceae.undiff;ABHI
21;Abies_homolepis;Pinaceae;Abies;Abies;ABHO
22;Abutilon_hulseanum;Malvaceae;Abutilon;Malvaceae.undiff;ABHU
23;Abutilon_hypoleucum;Malvaceae;Abutilon;Malvaceae.undiff;ABHY
24;Abutilon_incanum;Malvaceae;Abutilon;Malvaceae.undiff;ABIN
25;Abutilon_indicum;Malvaceae;Abutilon;Malvaceae.undiff;ABIN3
26;Abutilon_indicum;Malvaceae;Abutilon;Malvaceae.undiff;ABINA
27;Abies_lasiocarpa;Pinaceae;Abies;Abies;ABLA
28;Abies_lasiocarpa;Pinaceae;Abies;Abies;ABLAA
29;Abies_lasiocarpa;Pinaceae;Abies;Abies;ABLAL
30;Abies_lowiana;Pinaceae;Abies;Abies;ABLO
31;Abies_magnifica;Pinaceae;Abies;Abies;ABMA
32;Abutilon_malacum;Malvaceae;Abutilon;Malvaceae.undiff;ABMA3
33;Abutilon_mauritianum;Malvaceae;Abutilon;Malvaceae.undiff;ABMA8
34;Abelmoschus_manihot;Malvaceae;Abelmoschus;Malvaceae.undiff;ABMA9
35;Abies_magnifica;Pinaceae;Abies;Abies;ABMAM
36;Abies_magnifica;Pinaceae;Abies;Abies;ABMAS
37;Abutilon_menziesii;Malvaceae;Abutilon;Malvaceae.undiff;ABME2
38;Abutilon_megapotamicum;Malvaceae;Abutilon;Malvaceae.undiff;ABME3
39;Abelmoschus_moschatus;Malvaceae;Abelmoschus;Malvaceae.undiff;ABMO
40;Abutilon_mollicomum;Malvaceae;Abutilon;Malvaceae.undiff;ABMO2
41;Abutilon_palmeri;Malvaceae;Abutilon;Malvaceae.undiff;ABPA
42;Abutilon_parishii;Malvaceae;Abutilon;Malvaceae.undiff;ABPA2
43;Abutilon_parvulum;Malvaceae;Abutilon;Malvaceae.undiff;ABPA3
44;Abutilon_permolle;Malvaceae;Abutilon;Malvaceae.undiff;ABPE
45;Abies_procera;Pinaceae;Abies;Abies;ABPR
46;Abrus_precatorius;Fabaceae;Abrus;Fabaceae.undiff;ABPR3
47;Abutilon_reventum;Malvaceae;Abutilon;Malvaceae.undiff;ABRE
48;Abutilon_sandwicense;Malvaceae;Abutilon;Malvaceae.undiff;ABSA2
49;Abutilon_theophrasti;Malvaceae;Abutilon;Malvaceae.undiff;ABTH
50;Abutilon_thurberi;Malvaceae;Abutilon;Malvaceae.undiff;ABTH2
51;Abutilon_trisulcatum;Malvaceae;Abutilon;Malvaceae.undiff;ABTR
52;Abies_veitchii;Pinaceae;Abies;Abies;ABVE2
53;Abutilon_wrightii;Malvaceae;Abutilon;Malvaceae.undiff;ABWR
54;Acacia_acuminata;Fabaceae;Acacia;Fabaceae.undiff;ACAC10
55;Acacia_acinacea;Fabaceae;Acacia;Fabaceae.undiff;ACAC7
56;Acacia_aciphylla;Fabaceae;Acacia;Fabaceae.undiff;ACAC8
57;Acacia_aculeatissima;Fabaceae;Acacia;Fabaceae.undiff;ACAC9
58;Acaciella_Britton;Fabaceae;Acaciella;Fabaceae.undiff;ACACI2
59;Acacia_adunca;Fabaceae;Acacia;Fabaceae.undiff;ACAD
60;Acaena_Mutis;Rosaceae;Acaena;Rosaceae.undiff;ACAEN
61;Acacia_alata;Fabaceae;Acacia;Fabaceae.undiff;ACAL16
62;Acalypha_alopecuroidea;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAL2
63;Acalypha_amentacea;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAM2
64;Acacia_ampliceps;Fabaceae;Acacia;Fabaceae.undiff;ACAM9
65;Acalypha_amentacea;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAMH
66;Acalypha_amentacea;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAMP2
67;Acacia_aneura;Fabaceae;Acacia;Fabaceae.undiff;ACAN10
68;Acaciella_angustissima;Fabaceae;Acaciella;Fabaceae.undiff;ACAN11
69;Acaciella_angustissima;Fabaceae;Acaciella;Fabaceae.undiff;ACANC3
70;Acaciella_angustissima;Fabaceae;Acaciella;Fabaceae.undiff;ACANH2
71;Acalypha_arvensis;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAR16
72;Acacia_auriculiformis;Fabaceae;Acacia;Fabaceae.undiff;ACAU
73;Acalypha_australis;Euphorbiaceae;Acalypha;Euphorbiaceae;ACAU6
74;Acacia_baileyana;Fabaceae;Acacia;Fabaceae.undiff;ACBA
75;Acalypha_berteriana;Euphorbiaceae;Acalypha;Euphorbiaceae;ACBE2
76;Acacia_beckleri;Fabaceae;Acacia;Fabaceae.undiff;ACBE6
77;Acalypha_bisetosa;Euphorbiaceae;Acalypha;Euphorbiaceae;ACBI3
78;Acacia_binervata;Fabaceae;Acacia;Fabaceae.undiff;ACBI5
79;Acacia_boomanii;Fabaceae;Acacia;Fabaceae.undiff;ACBO4
80;Acacia_brachybotrya;Fabaceae;Acacia;Fabaceae.undiff;ACBR3
81;Acacia_buxifolia;Fabaceae;Acacia;Fabaceae.undiff;ACBU3
82;Acer_buergerianum;Aceraceae;Acer;Acer;ACBU4
83;Acacia_caesiella;Fabaceae;Acacia;Fabaceae.undiff;ACCA23
84;Acacia_calamifolia;Fabaceae;Acacia;Fabaceae.undiff;ACCA24
85;Acacia_cambagei;Fabaceae;Acacia;Fabaceae.undiff;ACCA25
86;Acacia_cardiophylla;Fabaceae;Acacia;Fabaceae.undiff;ACCA27
87;Acalypha_californica;Euphorbiaceae;Acalypha;Euphorbiaceae;ACCA3
